Data Table for Daily Case Trends - The United States
Date generated:Wed Feb 16 2022 00:00:00 (Central Standard Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
NH,Jan 01 2021,0,499,0
PR,Jan 01 2021,253,1579,0
AK,Jan 01 2021,470,0,0
MT,Jan 01 2021,0,1761,0
SC,Jan 01 2021,5812,386,0
VI,Jan 01 2021,0,249,0
WI,Jan 01 2021,2085,613,0
NC,Jan 01 2021,11051,1836,0
GA,Jan 01 2021,11137,1786,0
OK,Jan 01 2021,3502,1259,0
DE,Jan 01 2021,823,1661,0
RI,Jan 01 2021,886,372,0
NM,Jan 01 2021,1278,831,0
NV,Jan 01 2021,2315,1002,0
PW,Jan 01 2021,0,2823,0
NYC,Jan 01 2021,6034,2345,0
MD,Jan 01 2021,3557,901,0
ND,Jan 01 2021,121,478,0
VT,Jan 01 2021,163,940,0
IN,Jan 01 2021,6300,1038,0
CA,Jan 01 2021,61016,384,0
MI,Jan 01 2021,2011,666,0
OR,Jan 01 2021,0,474,0
MO,Jan 01 2021,1232,2332,0
OH,Jan 01 2021,0,2172,0
AL,Jan 01 2021,3621,1127,0
IL,Jan 01 2021,0,777,0
FL,Jan 01 2021,9646,2415,0
AS,Jan 01 2021,0,603,0
KS,Jan 01 2021,5312,17034,0
MP,Jan 01 2021,0,1361,0
FSM,Jan 01 2021,0,263,0
CT,Jan 01 2021,0,2126,0
MS,Jan 01 2021,1825,45,0
ME,Jan 01 2021,1042,1505,0
WA,Jan 01 2021,4217,549,0
KY,Jan 01 2021,3150,519,0
NE,Jan 01 2021,778,393,0
LA,Jan 01 2021,0,1483,0
UT,Jan 01 2021,3110,1073,0
NY,Jan 01 2021,11204,304,0
WY,Jan 01 2021,0,803,0
WV,Jan 01 2021,2486,4581,0
MA,Jan 01 2021,0,5919,0
AR,Jan 01 2021,4304,1727,0
TN,Jan 01 2021,9170,0,0
IA,Jan 01 2021,1995,0,0
TX,Jan 01 2021,16311,977,0
MN,Jan 01 2021,0,277,0
HI,Jan 01 2021,232,20394,0
SD,Jan 01 2021,0,0,0
VA,Jan 01 2021,3988,752,0
GU,Jan 01 2021,0,1118,0
RMI,Jan 01 2021,0,1167,0
DC,Jan 01 2021,269,946,0
PA,Jan 01 2021,8491,0,0
ID,Jan 01 2021,0,1714,0
NJ,Jan 01 2021,5803,1158,0
CO,Jan 01 2021,2827,3153,0
AZ,Jan 01 2021,10063,314,0
FSM,Jan 01 2022,0,418,0
PW,Jan 01 2022,0,2025,0
PA,Jan 01 2022,23189,8364,0
NV,Jan 01 2022,0,443,0
WA,Jan 01 2022,0,119,0
LA,Jan 01 2022,0,237,0
CO,Jan 01 2022,0,7908,0
IN,Jan 01 2022,0,651,0
SD,Jan 01 2022,0,527,0
ND,Jan 01 2022,0,1369,0
NY,Jan 01 2022,35752,0,0
AL,Jan 01 2022,4987,1794,0
GA,Jan 01 2022,0,12141,0
MA,Jan 01 2022,0,22237,0
NM,Jan 01 2022,0,759,0
MO,Jan 01 2022,0,1,0
NYC,Jan 01 2022,0,1569,0
OH,Jan 01 2022,0,919,0
IL,Jan 01 2022,0,424,0
SC,Jan 01 2022,11249,1032,0
VA,Jan 01 2022,0,177,0
NH,Jan 01 2022,0,1023,0
DE,Jan 01 2022,3514,256,0
VI,Jan 01 2022,458,759,0
IA,Jan 01 2022,0,853,0
AZ,Jan 01 2022,8220,708,0
MN,Jan 01 2022,0,199,0
VT,Jan 01 2022,506,360,0
WI,Jan 01 2022,0,1594,0
MS,Jan 01 2022,0,229,0
CT,Jan 01 2022,0,486,0
WY,Jan 01 2022,0,475,0
FL,Jan 01 2022,45444,0,0
MD,Jan 01 2022,14916,641,0
CA,Jan 01 2022,0,361,0
TN,Jan 01 2022,11294,853,0
DC,Jan 01 2022,0,365,0
ME,Jan 01 2022,0,2687,0
WV,Jan 01 2022,0,1584,0
OR,Jan 01 2022,0,356,0
HI,Jan 01 2022,2707,816,0
ID,Jan 01 2022,0,996,0
NE,Jan 01 2022,0,279,0
NJ,Jan 01 2022,32391,547,0
AK,Jan 01 2022,0,2677,0
PR,Jan 01 2022,0,1215,0
OK,Jan 01 2022,0,2112,0
MI,Jan 01 2022,0,315,0
AR,Jan 01 2022,4155,10241,0
MT,Jan 01 2022,0,3808,0
GU,Jan 01 2022,0,803,0
UT,Jan 01 2022,0,4427,0
RMI,Jan 01 2022,0,3233,0
NC,Jan 01 2022,20927,617,0
KS,Jan 01 2022,0,7518,0
AS,Jan 01 2022,0,0,0
MP,Jan 01 2022,32,0,0
RI,Jan 01 2022,2763,240,0
KY,Jan 01 2022,4946,221,0
TX,Jan 01 2022,52205,1422,0
VA,Jan 02 2021,5010,3829,0
OK,Jan 02 2021,2356,52,0
GU,Jan 02 2021,0,3495,0
DC,Jan 02 2021,257,434,0
MN,Jan 02 2021,2530,582,0
NH,Jan 02 2021,1156,891,0
OH,Jan 02 2021,14293,415,0
MI,Jan 02 2021,2553,330,0
AZ,Jan 02 2021,8886,65,0
CO,Jan 02 2021,1904,7868,0
TX,Jan 02 2021,4763,2118,0
WA,Jan 02 2021,2241,951,0
AL,Jan 02 2021,2499,1,0
PA,Jan 02 2021,7898,3237,0
PW,Jan 02 2021,0,662,0
WY,Jan 02 2021,164,476,0
NM,Jan 02 2021,1237,0,0
NJ,Jan 02 2021,5959,545,0
AR,Jan 02 2021,2000,682,0
MS,Jan 02 2021,1889,618,0
ID,Jan 02 2021,1122,5,0
IL,Jan 02 2021,11963,-413,0
NV,Jan 02 2021,1825,337,0
NC,Jan 02 2021,6458,3277,0
PR,Jan 02 2021,616,7850,0
NY,Jan 02 2021,9846,2890,0
RMI,Jan 02 2021,0,4351,0
GA,Jan 02 2021,7533,0,0
NYC,Jan 02 2021,4165,3397,0
MD,Jan 02 2021,2952,508,0
OR,Jan 02 2021,2439,2092,0
IN,Jan 02 2021,5329,508,0
NE,Jan 02 2021,632,1352,0
AS,Jan 02 2021,0,1863,0
MT,Jan 02 2021,389,1203,0
VI,Jan 02 2021,5,468,0
HI,Jan 02 2021,159,1900,0
RI,Jan 02 2021,775,1076,0
MA,Jan 02 2021,9003,1584,0
FSM,Jan 02 2021,0,230,0
CA,Jan 02 2021,53341,2675,0
UT,Jan 02 2021,1932,3891,0
AK,Jan 02 2021,289,0,0
VT,Jan 02 2021,80,618,0
CT,Jan 02 2021,4412,421,0
FL,Jan 02 2021,10468,1357,0
KS,Jan 02 2021,0,7172,0
ND,Jan 02 2021,150,177,0
DE,Jan 02 2021,628,1044,0
TN,Jan 02 2021,6669,0,0
WI,Jan 02 2021,1129,393,0
LA,Jan 02 2021,0,2827,0
WV,Jan 02 2021,1507,891,0
MP,Jan 02 2021,0,1338,0
SC,Jan 02 2021,5809,244,0
KY,Jan 02 2021,1517,864,0
IA,Jan 02 2021,666,998,0
ME,Jan 02 2021,347,1094,0
MO,Jan 02 2021,2722,531,0
SD,Jan 02 2021,665,2269,0
ME,Jan 02 2022,0,445,0
TN,Jan 02 2022,7704,0,0
WV,Jan 02 2022,0,1388,0
OH,Jan 02 2022,37626,0,0
SC,Jan 02 2022,11069,3806,0
MD,Jan 02 2022,11291,144,0
MI,Jan 02 2022,0,285,0
WA,Jan 02 2022,0,359,0
RMI,Jan 02 2022,0,0,0
AL,Jan 02 2022,4191,555,0
NE,Jan 02 2022,0,535,0
NH,Jan 02 2022,0,545,0
UT,Jan 02 2022,0,1285,0
FL,Jan 02 2022,39400,18117,0
FSM,Jan 02 2022,0,1145,0
DC,Jan 02 2022,0,784,0
MS,Jan 02 2022,0,1642,0
MN,Jan 02 2022,0,1353,0
GA,Jan 02 2022,0,5455,0
OK,Jan 02 2022,0,7485,0
IA,Jan 02 2022,0,57,0
NM,Jan 02 2022,0,3568,0
PW,Jan 02 2022,4,5603,0
AS,Jan 02 2022,0,1130,0
HI,Jan 02 2022,3117,0,0
ND,Jan 02 2022,116,494,0
VA,Jan 02 2022,0,230,0
DE,Jan 02 2022,3116,450,0
NV,Jan 02 2022,0,827,0
ID,Jan 02 2022,0,411,0
VT,Jan 02 2022,415,681,0
IN,Jan 02 2022,0,729,0
AR,Jan 02 2022,2181,2388,0
TX,Jan 02 2022,55260,5114,0
KS,Jan 02 2022,0,3841,0
MP,Jan 02 2022,10,1028,0
KY,Jan 02 2022,3139,165,0
AK,Jan 02 2022,0,6801,0
MT,Jan 02 2022,0,501,0
SD,Jan 02 2022,0,1270,0
GU,Jan 02 2022,71,53,0
WI,Jan 02 2022,0,303,0
CA,Jan 02 2022,0,792,0
MA,Jan 02 2022,0,0,0
MO,Jan 02 2022,0,358,0
CO,Jan 02 2022,0,0,0
NJ,Jan 02 2022,26452,352,0
IL,Jan 02 2022,0,659,0
NC,Jan 02 2022,11755,997,0
OR,Jan 02 2022,0,387,0
PA,Jan 02 2022,17611,485,0
VI,Jan 02 2022,0,1328,0
CT,Jan 02 2022,0,46,0
WY,Jan 02 2022,0,567,0
NY,Jan 02 2022,26876,2947,0
AZ,Jan 02 2022,701,264,0
PR,Jan 02 2022,26098,6105,0
NYC,Jan 02 2022,110094,2940,0
LA,Jan 02 2022,0,908,0
RI,Jan 02 2022,2180,788,0
WV,Jan 03 2021,1731,1825,0
UT,Jan 03 2021,1819,2340,0
TN,Jan 03 2021,7190,0,0
FL,Jan 03 2021,11235,0,0
NYC,Jan 03 2021,2115,4463,0
IL,Jan 03 2021,4469,211,0
GA,Jan 03 2021,5778,1834,0
OK,Jan 03 2021,2971,0,0
OH,Jan 03 2021,6808,2739,0
ND,Jan 03 2021,199,1124,0
MP,Jan 03 2021,0,0,0
ME,Jan 03 2021,376,893,0
MI,Jan 03 2021,2349,317,0
CO,Jan 03 2021,1917,2385,0
PR,Jan 03 2021,405,2212,0
HI,Jan 03 2021,122,1167,0
PW,Jan 03 2021,0,4800,0
NY,Jan 03 2021,8028,365,0
NM,Jan 03 2021,1015,3126,0
KS,Jan 03 2021,0,0,0
RI,Jan 03 2021,875,645,0
MD,Jan 03 2021,2148,882,0
TX,Jan 03 2021,16095,153,0
IN,Jan 03 2021,2993,103,0
GU,Jan 03 2021,36,912,0
AZ,Jan 03 2021,17237,1037,0
AK,Jan 03 2021,168,3066,0
AS,Jan 03 2021,0,943,0
MA,Jan 03 2021,3481,1364,0
LA,Jan 03 2021,5783,1021,0
OR,Jan 03 2021,1397,410,0
AR,Jan 03 2021,2033,1445,0
DC,Jan 03 2021,255,72,0
NJ,Jan 03 2021,4049,217,0
SC,Jan 03 2021,5254,407,0
KY,Jan 03 2021,2883,522,0
AL,Jan 03 2021,2103,1341,0
MT,Jan 03 2021,437,920,0
VA,Jan 03 2021,3771,252,0
WI,Jan 03 2021,2593,865,0
WA,Jan 03 2021,1774,91,0
RMI,Jan 03 2021,0,5808,0
NC,Jan 03 2021,6593,1457,0
ID,Jan 03 2021,308,68,0
CT,Jan 03 2021,0,3894,0
NH,Jan 03 2021,1266,1382,0
NV,Jan 03 2021,2747,1342,0
FSM,Jan 03 2021,0,1527,0
SD,Jan 03 2021,703,0,0
WY,Jan 03 2021,302,366,0
CA,Jan 03 2021,45352,1717,0
DE,Jan 03 2021,876,748,0
VT,Jan 03 2021,87,437,0
IA,Jan 03 2021,1048,0,0
VI,Jan 03 2021,1,271,0
MS,Jan 03 2021,1294,368,0
MO,Jan 03 2021,2498,1181,0
MN,Jan 03 2021,2712,393,0
PA,Jan 03 2021,4844,3886,0
NE,Jan 03 2021,583,276,0
VA,Jan 03 2022,42931,139,0
RI,Jan 03 2022,2271,244,0
ND,Jan 03 2022,1587,691,0
IA,Jan 03 2022,5038,906,0
TN,Jan 03 2022,7549,1989,0
TX,Jan 03 2022,60875,3737,0
DE,Jan 03 2022,2386,2111,0
NYC,Jan 03 2022,36491,646,0
NV,Jan 03 2022,13163,697,0
NM,Jan 03 2022,7437,6662,0
KS,Jan 03 2022,14855,659,0
VI,Jan 03 2022,184,278,0
NJ,Jan 03 2022,21743,1761,0
CO,Jan 03 2022,25224,10788,0
AL,Jan 03 2022,8919,728,0
AR,Jan 03 2022,1750,193,0
PR,Jan 03 2022,6597,25826,0
AZ,Jan 03 2022,14192,1077,0
MP,Jan 03 2022,95,9988,0
NH,Jan 03 2022,5082,253,0
PA,Jan 03 2022,17390,4642,0
MO,Jan 03 2022,27692,704,0
PW,Jan 03 2022,2,2954,0
GA,Jan 03 2022,47436,531,0
IL,Jan 03 2022,57734,722,0
VT,Jan 03 2022,216,3230,0
HI,Jan 03 2022,2930,994,0
WI,Jan 03 2022,11692,133,0
MS,Jan 03 2022,17525,684,0
AK,Jan 03 2022,2786,2015,0
CT,Jan 03 2022,23678,785,0
MI,Jan 03 2022,65597,982,0
ME,Jan 03 2022,1481,1223,0
RMI,Jan 03 2022,0,4125,0
UT,Jan 03 2022,14754,1833,0
IN,Jan 03 2022,31431,496,0
FL,Jan 03 2022,51230,6997,0
NC,Jan 03 2022,12779,2872,0
WV,Jan 03 2022,9164,0,0
SD,Jan 03 2022,779,3302,0
CA,Jan 03 2022,71195,828,0
OH,Jan 03 2022,18942,2725,0
SC,Jan 03 2022,9706,636,0
LA,Jan 03 2022,31161,262,0
NE,Jan 03 2022,1425,1145,0
NY,Jan 03 2022,22452,941,0
OR,Jan 03 2022,9668,1217,0
DC,Jan 03 2022,9201,314,0
WY,Jan 03 2022,1005,257,0
FSM,Jan 03 2022,0,1859,0
MT,Jan 03 2022,796,175,0
MD,Jan 03 2022,14927,3309,0
ID,Jan 03 2022,1420,2929,0
KY,Jan 03 2022,3982,1073,0
WA,Jan 03 2022,33069,123,0
MN,Jan 03 2022,6774,2368,0
AS,Jan 03 2022,0,2211,0
MA,Jan 03 2022,33090,1791,0
GU,Jan 03 2022,210,1905,0
OK,Jan 03 2022,12023,460,0
NM,Jan 04 2021,921,532,0
WY,Jan 04 2021,372,322,0
NY,Jan 04 2021,7483,2361,0
VT,Jan 04 2021,78,1306,0
NC,Jan 04 2021,4803,1807,0
MN,Jan 04 2021,3144,496,0
DC,Jan 04 2021,140,122,0
NH,Jan 04 2021,878,615,0
SD,Jan 04 2021,111,908,0
WI,Jan 04 2021,1626,29,0
UT,Jan 04 2021,2160,4511,0
VI,Jan 04 2021,13,3496,0
TX,Jan 04 2021,18182,1186,0
OK,Jan 04 2021,2775,3132,0
HI,Jan 04 2021,75,1877,0
NJ,Jan 04 2021,2496,115,0
TN,Jan 04 2021,3509,15309,0
LA,Jan 04 2021,1123,581,0
MP,Jan 04 2021,2,0,0
AR,Jan 04 2021,1306,1463,0
AK,Jan 04 2021,214,2813,0
NYC,Jan 04 2021,5265,2774,0
RI,Jan 04 2021,643,244,0
RMI,Jan 04 2021,0,573,0
AL,Jan 04 2021,5520,323,0
CA,Jan 04 2021,18442,1432,0
PR,Jan 04 2021,277,1014,0
MO,Jan 04 2021,6513,693,0
GA,Jan 04 2021,5163,1388,0
MS,Jan 04 2021,1838,745,0
MA,Jan 04 2021,4906,8000,0
AS,Jan 04 2021,0,2022,0
